#Year  Day  mSec  Ne  n_mu  RA  DEC
2018.0 97.0 18722420.0 257000.0 14.0 307.52 39.32
2018.0 98.0 30251751.0 51500.0 5.2 302.61 40.6
2018.0 101.0 26473525.0 24500.0 3.4 304.51 41.83
2018.0 101.0 27522428.0 10500.0 0.0 312.09 40.43
2018.0 102.0 20440638.0 16500.0 0.0 308.27 41.11
2018.0 102.0 32274722.0 96700.0 3.4 305.69 44.22
2018.0 104.0 19783540.0 74900.0 3.2 307.31 45.17
2018.0 105.0 22734106.0 191000.0 11.6 311.64 39.0
2018.0 105.0 25778596.0 317000.0 26.3 309.18 39.36
2018.0 106.0 19937365.0 103000.0 5.7 303.37 43.1
2018.0 110.0 16436381.0 13000.0 1.2 306.78 39.03
2018.0 115.0 25661692.0 133000.0 7.4 308.86 38.34
2018.0 117.0 24552977.0 97900.0 3.8 313.02 41.06
2018.0 118.0 26827341.0 19800.0 0.0 306.53 39.91
2018.0 122.0 19068024.0 54300.0 28.2 304.24 44.67
2018.0 123.0 22824055.0 8980.0 1.8 310.86 39.58
2018.0 124.0 22493886.0 77400.0 6.5 305.72 41.93
2018.0 133.0 24113838.0 214000.0 13.1 307.54 41.48
2018.0 134.0 11803451.0 2820.0 31.0 310.2 44.27
2018.0 134.0 20632499.0 282000.0 13.2 310.48 41.16
2018.0 134.0 21757716.0 268000.0 8.9 303.23 44.22
2018.0 136.0 13338937.0 274000.0 8.0 311.82 44.31
2018.0 146.0 8983324.0 82900.0 2.5 304.67 44.7
2018.0 146.0 21994152.0 45300.0 2.0 303.93 42.76
2018.0 148.0 27787862.0 270000.0 49.6 310.83 40.3
2018.0 150.0 7675541.0 43500.0 3.2 310.96 41.16
2018.0 150.0 17094999.0 134000.0 7.0 313.22 42.55
2018.0 151.0 15300634.0 122000.0 7.7 307.81 43.91
2018.0 151.0 18834838.0 30100.0 3.0 313.0 41.95
2018.0 152.0 15536564.0 22500.0 6.5 310.47 38.74
2018.0 152.0 23584700.0 69900.0 36.6 313.06 42.14
2018.0 157.0 14551152.0 270000.0 5.5 302.96 44.62
2018.0 158.0 12264269.0 563000.0 36.2 308.8 38.2
2018.0 160.0 10555498.0 21500.0 3.6 312.07 41.68
2018.0 160.0 16664238.0 6510.0 1.8 304.09 44.17
2018.0 173.0 15197449.0 135000.0 7.1 310.24 42.5
2018.0 174.0 6285771.0 31200.0 5.8 305.53 43.49
2018.0 174.0 14019443.0 44900.0 5.8 309.99 38.25
2018.0 176.0 16081477.0 62300.0 6.9 305.16 44.35
2018.0 177.0 6381327.0 59100.0 0.0 311.01 41.09
2018.0 177.0 13497118.0 1620000.0 85.0 303.89 40.52
2018.0 178.0 13882170.0 31500.0 7.7 313.04 41.82
2018.0 178.0 20632517.0 9180.0 1.9 311.31 44.56
2018.0 179.0 8353988.0 49100.0 5.9 310.7 38.7
2018.0 179.0 8840721.0 89900.0 5.5 312.53 41.4
2018.0 179.0 18299544.0 89600.0 6.3 303.41 42.14
2018.0 180.0 6934452.0 606000.0 19.4 307.28 39.52
2018.0 180.0 13746172.0 21900.0 1.1 307.58 42.69
2018.0 182.0 2776147.0 91300.0 1.0 310.18 43.13
2018.0 183.0 3662648.0 8660.0 1.7 306.94 44.03
2018.0 184.0 6008313.0 57700.0 7.5 309.94 42.17
2018.0 209.0 83321830.0 77200.0 36.9 307.58 36.95
2018.0 210.0 7789209.0 2940.0 0.0 311.31 41.7
2018.0 214.0 1317280.0 7490.0 0.0 309.25 42.92
2018.0 220.0 77509940.0 93700.0 11.6 310.81 38.81
2018.0 220.0 79677554.0 2850.0 0.0 303.8 45.15
2018.0 220.0 81721425.0 27500.0 3.9 311.51 39.61
2018.0 222.0 1235706.0 146000.0 5.8 307.77 42.56
2018.0 223.0 8035803.0 64300.0 4.9 307.66 39.81
2018.0 225.0 7668033.0 29900.0 9.4 301.91 42.44
2018.0 228.0 841788.0 437000.0 20.2 310.18 44.04
2018.0 229.0 143032.0 71100.0 5.5 306.28 45.11
2018.0 229.0 9640904.0 10800.0 0.8 310.14 45.13
2018.0 229.0 78794093.0 61600.0 5.5 303.7 38.59
2018.0 231.0 77139822.0 118000.0 15.6 306.1 43.86
2018.0 232.0 76448113.0 364000.0 14.7 307.19 41.79
2018.0 236.0 75234408.0 26000.0 5.4 309.39 38.59
2018.0 237.0 1576316.0 9570.0 2.2 309.63 42.07
