#Year  Day  mSec  Ne  n_mu  RA  DEC
2018.0 101.0 27522428.0 10500.0 0.0 312.09 40.43
2018.0 102.0 20440638.0 16500.0 0.0 308.27 41.11
2018.0 118.0 26827341.0 19800.0 0.0 306.53 39.91
2018.0 177.0 6381327.0 59100.0 0.0 311.01 41.09
2018.0 210.0 7789209.0 2940.0 0.0 311.31 41.7
2018.0 214.0 1317280.0 7490.0 0.0 309.25 42.92
2018.0 220.0 79677554.0 2850.0 0.0 303.8 45.15
2018.0 260.0 69553117.0 39700.0 0.0 303.13 43.9
2018.0 264.0 76295991.0 5010.0 0.0 302.23 39.3
2018.0 275.0 70529054.0 20800.0 0.0 305.31 41.53
2018.0 312.0 55575782.0 10800.0 0.0 307.24 43.58
2018.0 313.0 57358592.0 104000.0 0.0 306.47 45.65
2018.0 335.0 60621376.0 5640.0 0.0 303.9 41.37
2018.0 341.0 62240625.0 7820.0 0.0 301.04 42.01
2019.0 13.0 40974979.0 43600.0 0.0 305.92 38.82
2019.0 34.0 37038729.0 43700.0 0.0 307.48 45.66
2019.0 99.0 22952892.0 32200.0 0.0 307.04 43.18
2019.0 139.0 15922452.0 45700.0 0.0 304.42 39.78
2019.0 178.0 5141104.0 17600.0 0.0 304.66 45.56
2019.0 218.0 2702140.0 12000.0 0.0 308.21 37.03
2019.0 228.0 80904992.0 15400.0 0.0 304.31 39.95
2019.0 232.0 82512422.0 36100.0 0.0 313.12 42.36
2019.0 249.0 74229451.0 26600.0 0.0 306.68 43.47
2019.0 269.0 67484547.0 7120.0 0.0 304.12 44.19
2019.0 288.0 73097064.0 63300.0 0.0 308.2 36.85
2019.0 356.0 55587635.0 215000.0 0.0 309.02 43.6
2019.0 360.0 59229778.0 13500.0 0.0 309.66 44.38
2020.0 6.0 49661230.0 9110.0 0.0 307.39 41.17
2020.0 16.0 39653453.0 23100.0 0.0 304.86 38.72
2020.0 139.0 27826822.0 18000.0 0.0 310.37 43.72
2020.0 149.0 14206025.0 13600.0 0.0 313.0 41.17
2020.0 171.0 6401693.0 33800.0 0.0 305.02 40.04
2020.0 180.0 15793034.0 12200.0 0.0 305.75 39.61
2020.0 229.0 85035961.0 14500.0 0.0 306.43 36.86
2020.0 243.0 67239250.0 11600.0 0.0 309.28 39.61
2020.0 250.0 79323421.0 11800.0 0.0 304.88 45.12
2020.0 287.0 63920826.0 57900.0 0.0 305.15 36.99
2020.0 293.0 55531225.0 21700.0 0.0 311.63 43.45
2020.0 315.0 57961181.0 110000.0 0.0 310.23 43.86
2020.0 315.0 66126750.0 5800.0 0.0 308.51 45.02
2020.0 328.0 47470002.0 34100.0 0.0 303.03 43.75
2020.0 331.0 58438097.0 48500.0 0.0 303.94 38.13
2020.0 341.0 56444920.0 16000.0 0.0 310.23 40.56
2020.0 351.0 52312366.0 10700.0 0.0 305.0 42.3
2021.0 2.0 55517739.0 33500.0 0.0 310.18 40.72
2021.0 22.0 51378571.0 4420.0 0.0 311.77 39.21
2021.0 72.0 27243567.0 19800.0 0.0 310.31 38.96
2021.0 93.0 27981994.0 16800.0 0.0 306.65 39.85
2021.0 105.0 17110225.0 130000.0 0.0 302.46 39.03
2021.0 146.0 10501369.0 2380.0 0.0 303.11 40.83
2021.0 353.0 56985587.0 48200.0 0.0 302.26 42.44
2022.0 30.0 45401604.0 86400.0 0.0 304.05 40.67
2022.0 57.0 32371527.0 15400.0 0.0 305.81 44.87
2022.0 62.0 41816677.0 5070.0 0.0 309.67 37.83
2022.0 83.0 24777460.0 3770.0 0.0 307.95 36.69
2022.0 113.0 32338661.0 17700.0 0.0 305.05 39.93
2022.0 129.0 20411460.0 107000.0 0.0 303.56 39.49
2022.0 151.0 9241529.0 71200.0 0.0 303.45 39.23
2022.0 169.0 12029813.0 11700.0 0.0 303.06 40.13
2022.0 198.0 84323951.0 60800.0 0.0 301.89 41.26
2022.0 200.0 10659919.0 43600.0 0.0 310.55 43.16
2022.0 254.0 78276805.0 5480.0 0.0 312.49 39.74
2023.0 8.0 59484461.0 25200.0 0.0 311.16 44.32
2023.0 9.0 48710995.0 12900.0 0.0 311.66 43.25
2023.0 32.0 49301752.0 15000.0 0.0 310.71 38.34
2023.0 49.0 39786362.0 19600.0 0.0 304.34 43.1
2023.0 73.0 36529241.0 7390.0 0.0 309.15 45.01
2023.0 82.0 43372678.0 14700.0 0.0 309.49 40.44
2023.0 152.0 17110224.0 12200.0 0.0 309.55 40.96
2023.0 155.0 16951861.0 19600.0 0.0 312.3 39.01
2023.0 187.0 8114431.0 23600.0 0.0 306.68 37.85
2023.0 209.0 84364023.0 79500.0 0.0 310.17 42.06
2023.0 320.0 57990036.0 47700.0 0.0 307.59 39.17
2024.0 44.0 41020609.0 11900.0 0.0 304.3 40.63
2024.0 52.0 36749521.0 10900.0 0.0 308.73 42.86
2024.0 63.0 33590025.0 3310.0 0.0 301.07 41.86
